"contact_id","type_id"
"3571","9"
"3575","1"
"3570","1"
"3573","1"
"3577","1"
"3577","3"
"3565","1"
"4587","1"
"3580","1"
"3567","1"
"3567","3"
"3568","1"
"3568","8"
"3568","5"
"3568","6"
"3572","1"
"3572","3"
"3569","2"
"3569","3"
"3573","8"
"3573","5"
"3573","6"
"3576","1"
"3576","3"
"3578","1"
"3578","3"
"3580","2"
"3580","8"
"3580","3"
"3580","4"
"3580","5"
"3580","6"
"3580","7"
"3580","9"
"4583","8"
"3131","1"
"4586","1"
"3581","1"
"4585","1"
"4582","3"
"4581","1"
"4581","5"
"4584","3"
"3579","3"
"6610","2"
"6587","3"
"6610","8"
"6610","3"
"2553","1"
"5587","1"
"5587","3"
"4586","3"
"9631","1"
"312","1"
"9629","1"
"9628","8"
"3383","1"
"312","8"
"9631","5"
"3395","1"
"10631","1"
"6605","1"
"6605","3"
"3395","3"
"6605","5"
"6605","6"
"9630","1"
"9630","3"
"9629","8"
"9629","3"
"10632","3"
"10633","1"
"10633","3"
"16648","1"
"17648","1"
"3411","8"
"3411","9"
"23671","2"
"23670","1"
"10638","1"
"10638","2"
"10638","8"
"10638","3"
"19649","1"
"10635","1"
"10635","3"
"19652","1"
"12648","4"
"11642","1"
"2733","1"
"10639","1"
"20656","1"
"10634","1"
"12646","1"
"13649","1"
"23665","1"
"23665","3"
"12645","1"
"12644","1"
"12644","3"
"11639","1"
"11639","5"
"11639","7"
"15648","4"
"15648","9"
"19654","1"
"12642","1"
"13649","4"
"12643","1"
"17648","3"
"3406","1"
"21662","6"
"3398","2"
"13649","7"
"16649","1"
"10636","8"
"14649","1"
"17649","3"
"11641","1"
"3403","1"
"11643","1"
"10640","1"
"292","1"
"292","2"
"292","3"
"2992","1"
"14650","1"
"11640","1"
"11640","2"
"18651","1"
"18651","2"
"18651","4"
"18651","7"
"13648","3"
"19650","8"
"19650","7"
"12646","2"
"14652","1"
"14652","3"
"14648","1"
"3406","3"
"3406","4"
"10636","3"
"11643","3"
"19651","8"
"12646","3"
"12647","1"
"12647","3"
"17650","9"
"23670","8"
"23670","3"
"23672","2"
"19653","1"
"19653","3"
"20661","1"
"19655","1"
"2733","3"
"46692","1"
"24674","1"
"20663","2"
"20663","5"
"20663","6"
"20663","7"
"3398","9"
"18649","1"
"23663","1"
"20656","4"
"20656","6"
"10637","1"
"20657","1"
"21663","3"
"22664","1"
"20659","1"
"20659","8"
"20658","1"
"20658","8"
"20658","5"
"19655","2"
"19655","8"
"19655","4"
"19655","7"
"19656","1"
"19656","2"
"14651","1"
"18650","2"
"18650","5"
"18650","6"
"18650","7"
"14651","2"
"14651","3"
"18649","3"
"11640","8"
"11640","3"
"12643","7"
"23672","8"
"23669","2"
"23669","5"
"23669","6"
"10637","3"
"23666","8"
"20662","1"
"20662","5"
"20662","9"
"20660","1"
"25677","9"
"25679","1"
"24674","3"
"25676","1"
"25676","3"
"25675","8"
"25674","1"
"23673","1"
"23674","1"
"23674","4"
"23673","8"
"23673","3"
"25679","3"
"25678","1"
"40692","1"
"43692","1"
"44692","1"
"44692","3"
"45693","1"
"33686","1"
"33686","3"
"42692","1"
"45693","2"
"45693","3"
"45693","4"
"41691","1"
"40691","1"
"41691","3"
"47694","1"
"45692","1"
"84810","2"
"84811","2"
"43691","1"
"43691","3"
"43693","1"
"43693","3"
"35686","1"
"35686","3"
"35687","1"
"35687","3"
"48695","8"
"37688","1"
"42691","1"
"47693","1"
"26679","1"
"15","1"
"15","5"
"15","6"
"16","1"
"2842","1"
"18","1"
"18","5"
"18","6"
"19","2"
"1991","1"
"2842","2"
"21","1"
"2842","3"
"3474","1"
"3474","5"
"3461","1"
"3461","3"
"23","1"
"24","1"
"24","2"
"24","3"
"24","4"
"25","1"
"26","1"
"27","1"
"27","5"
"2819","1"
"3334","1"
"30","2"
"3084","8"
"33","1"
"33","3"
"34","2"
"34","7"
"35","1"
"35","3"
"37","1"
"38","1"
"39","1"
"39","4"
"40","1"
"40","2"
"40","3"
"40","4"
"40","7"
"41","5"
"42","2"
"42","7"
"3089","2"
"44","1"
"811","1"
"47","1"
"47","5"
"3089","3"
"3061","1"
"50","1"
"51","1"
"3061","3"
"3023","1"
"56","1"
"57","1"
"57","5"
