"contact_id","naics_id","rank"
"3571","423840","1"
"3571","423710","2"
"3571","423830","3"
"3575","12345","1"
"3570","3702","1"
"3573","423440","1"
"3573","561720","2"
"3577","541512","1"
"3577","541513","2"
"3568","811310","1"
"3572","811310","1"
"3572","333249","2"
"3567","541712","1"
"3567","541711","2"
"3567","541720","3"
"3572","326199","3"
"3569","541930","1"
"3573","561730","3"
"4587","541511","1"
"3580","20585","1"
"3580","1000","2"
"4583","1","1"
"3131","332313","1"
"3576","337215","1"
"3576","337214","2"
"3577","541511","3"
"3578","561613","1"
"3578","541613","2"
"3578","541512","3"
"3581","221114","1"
"4582","541430","1"
"4582","541613","2"
"4585","325414","1"
"4585","562211","2"
"4585","562910","3"
"4581","333517","1"
"4584","1","1"
"3131","332420","2"
"4587","541512","2"
"3579","-2","1"
"4587","541513","3"
"3131","332410","3"
"6610","491110","1"
"6610","424130","2"
"6610","423850","3"
"2553","541611","1"
"2553","541618","2"
"5587","541511","1"
"5587","541613","2"
"5587","541430","3"
"4586","561320","1"
"4586","541330","2"
"2553","541990","3"
"9631","3599","1"
"312","238210","1"
"312","811213","2"
"312","811212","3"
"6605","541618","1"
"3383","332710","1"
"9629","541611","1"
"9629","541620","2"
"6605","541690","2"
"6605","611710","3"
"9628","562910","1"
"9628","562112","2"
"3395","541511","1"
"3395","541512","2"
"3395","541519","3"
"10631","541712","1"
"10631","334511","2"
"10631","557110","3"
"9630","532420","1"
"9630","423430","2"
"9630","811212","3"
"9628","541620","3"
"10632","481212","1"
"10633","561320","1"
"16648","339991","1"
"16648","334513","2"
"16648","334413","3"
"3411","541380","1"
"17649","518210","1"
"23671","541511","1"
"23671","541519","2"
"23671","561210","3"
"10638","541611","1"
"10638","561211","2"
"10638","541611","3"
"19649","1234567","1"
"10635","275201","2"
"10635","275209","3"
"11642","332710","1"
"3403","238210","1"
"20656","561110","1"
"20656","561990","2"
"10637","541430","1"
"10634","518210","1"
"13649","237310","1"
"25677","541611","1"
"12645","541712","1"
"12645","541330","2"
"12645","541690","3"
"25677","541614","2"
"11639","541620","1"
"11639","541990","2"
"11639","561110","3"
"12644","541820","1"
"12644","541613","2"
"12644","541810","3"
"15648","332312","1"
"15648","332999","2"
"15648","332710","3"
"19654","541511","1"
"19654","541512","2"
"19654","541513","3"
"11642","332721","2"
"11642","333514","3"
"25677","541511","3"
"17648","335129","1"
"17648","423610","2"
"17648","532490","3"
"3406","541611","1"
"12642","332710","1"
"13649","237990","2"
"13649","236220","3"
"13648","221114","1"
"10636","336612","1"
"10636","335991","2"
"10636","333511","3"
"14649","31","1"
"14649","33","2"
"17649","541214","2"
"11641","50130119","1"
"11641","50729907","2"
"3403","517911","2"
"10640","811212","1"
"292","5413","1"
"292","541330","2"
"2992","423610","1"
"2992","335931","2"
"14650","332710","1"
"11640","541690","1"
"11640","541620","2"
"11640","611430","3"
"18651","237310","1"
"18651","236220","3"
"13648","221118","2"
"19650","517911","1"
"19650","541330","3"
"12646","561320","1"
"12646","541712","2"
"14652","332812","1"
"14652","323111","2"
"14652","339950","3"
"14648","221114","1"
"3406","541990","2"
"3406","541320","3"
"13648","221121","3"
"17649","541219","3"
"3403","532490","3"
"11643","2856933","1"
"19651","485320","1"
"19651","485999","2"
"10634","541511","2"
"10634","541513","3"
"12646","541990","3"
"12647","541511","1"
"12647","541512","2"
"12647","561320","3"
"16649","541330","1"
"17650","561320","1"
"17650","541612","2"
"23670","541511","1"
"23670","541330","2"
"19653","531110","1"
"19653","561599","2"
"19653","624221","3"
"20661","562910","3"
"19655","561210","1"
"25679","561320","1"
"25679","541330","2"
"25679","561311","3"
"20663","518210","1"
"20663","561499","2"
"3398","541511","1"
"3398","541312","2"
"3398","561311","3"
"23663","541922","1"
"10637","541990","2"
"10637","541490","3"
"23670","541430","3"
"20657","423430","1"
"20657","423690","2"
"20657","542169","3"
"21663","541712","1"
"22664","334417","1"
"23663","541990","2"
"23663","541360","3"
"20659","54111","1"
"20659","541512","2"
"20659","541611","3"
"20658","561311","1"
"20658","541214","2"
"20658","561312","3"
"19655","541330","2"
"19655","541618","3"
"19656","541330","1"
"19656","541611","2"
"19656","541350","3"
"14651","541611","1"
"14651","56121","2"
"14651","541612","3"
"18650","517911","1"
"18650","517919","2"
"18650","541330","3"
"21662","334513","1"
"21662","332912","2"
"21662","334419","3"
"18649","561210","1"
"18649","541350","2"
"18649","541990","3"
"19652","541330","1"
"12648","517110","1"
"12648","517919","2"
"12648","334210","3"
"10639","237130","1"
"25678","331420","1"
"23672","561320","1"
"23672","541990","2"
"23672","541330","3"
"23669","561920","1"
"23669","561510","2"
"23669","488510","3"
"30","332439",""
"15","561740","1"
"16","541330","1"
"18","5416","1"
"18","541330","2"
"19","541620","1"
"19","3334","2"
"3185","423490","1"
"3185","339113","2"
"3185","326199","3"
"21","238390","2"
"21","23833","1"
"2857","541511","1"
"2857","511210","2"
"23","54151","1"
