"contact_id","product_id"
"3260","124"
"3269","158"
"3251","106"
"3251","120"
"3251","121"
"3251","132"
"3251","146"
"3251","166"
"3251","167"
"2821","95"
"3256","97"
"2052","92"
"2052","91"
"2052","98"
"2052","101"
"2052","106"
"2052","120"
"2052","121"
"2052","131"
"2052","140"
"2052","141"
"2052","152"
"1618","92"
"1618","131"
"1618","132"
"1618","140"
"1618","166"
"1618","167"
"2849","142"
"786","138"
"10632","155"
"9631","168"
"3395","101"
"3395","121"
"9630","136"
"9628","162"
"3366","99"
"3366","101"
"3366","121"
"3187","123"
"927","91"
"3187","124"
"3187","165"
"3366","149"
"3256","99"
"2897","128"
"2897","129"
"2897","130"
"2897","168"
"2897","148"
"2889","109"
"3256","100"
"3256","101"
"3256","109"
"3256","136"
"3256","152"
"3265","124"
"3265","150"
"3272","97"
"3272","99"
"2915","92"
"2915","91"
"2915","105"
"2915","109"
"2915","121"
"2915","131"
"2915","168"
"2915","140"
"2915","146"
"2915","148"
"2915","152"
"2915","153"
"2915","156"
"2890","99"
"2890","100"
"2890","101"
"2890","105"
"2890","107"
"2890","109"
"2890","121"
"2890","124"
"2890","149"
"2890","152"
"2890","161"
"3272","100"
"2922","140"
"2908","107"
"3272","101"
"3272","107"
"3272","152"
"3272","153"
"3253","128"
"3401","140"
"2911","159"
"3006","149"
"3006","165"
"1341","149"
"3401","152"
"3405","97"
"3405","107"
"3405","123"
"3405","130"
"3405","135"
"3405","136"
"3405","168"
"3405","165"
"3412","109"
"3412","124"
"901","96"
"901","110"
"901","117"
"901","119"
"901","140"
"901","166"
"901","167"
"3367","95"
"3365","142"
"9628","163"
"10631","107"
"10631","109"
"10631","117"
"10631","140"
"10631","146"
"9628","164"
"312","99"
"312","100"
"2502","92"
"2502","94"
"2502","111"
"2502","112"
"2502","146"
"2502","157"
"1989","131"
"1989","140"
"1989","166"
"1989","167"
"1007","111"
"1007","132"
"1007","168"
"1007","166"
"1007","167"
"2122","121"
"2122","131"
"2122","140"
"2122","141"
"2122","152"
"2122","167"
"415","96"
"415","102"
"415","110"
"415","168"
"702","89"
"3339","138"
"2127","105"
"2127","109"
"2127","131"
"3320","155"
"3320","157"
"3320","161"
"3320","166"
"2127","146"
"2127","152"
"3320","167"
"3315","93"
"3315","132"
"3322","102"
"2792","105"
"2127","158"
"2127","167"
"78","88"
"3332","139"
"3332","150"
"3327","105"
"3327","127"
"3327","129"
"3327","128"
"3328","102"
"3328","110"
"3328","168"
"3328","145"
"3328","163"
"3328","164"
"3329","88"
"3329","109"
"3329","110"
"3329","131"
"2792","107"
"2792","109"
"2792","131"
"2792","152"
"78","98"
"78","109"
"3329","140"
"3329","146"
"3333","145"
"3333","165"
"3330","123"
"3330","124"
"2832","99"
"2832","101"
"2832","109"
"2832","110"
"2832","121"
"2832","131"
"2832","140"
"2832","146"
"2832","152"
"2832","153"
"2832","167"
"2738","88"
"2738","109"
"2738","110"
"1610","166"
"1610","167"
"3324","123"
"3324","124"
"3080","93"
"3314","107"
"3314","109"
"3314","127"
"3314","129"
"3319","107"
"3316","119"
"3313","122"
"3318","99"
"3318","107"
"3318","110"
"3318","168"
"3318","144"
"3318","165"
"3311","135"
"3311","136"
"3079","105"
"3079","109"
"3079","127"
"3079","140"
"3079","160"
"3079","164"
"3310","102"
"3310","168"
"3310","165"
"2738","117"
"2738","140"
"3193","134"
"1517","93"
"1517","94"
"1517","104"
"1517","110"
"15","168"
"16","101"
"16","109"
"16","131"
"16","140"
"16","146"
"2842","101"
"2842","104"
"2842","105"
"18","156"
"19","96"
"19","110"
"19","160"
"2933","91"
"2933","109"
"2842","118"
"2842","121"
"1991","88"
"1991","98"
"1991","105"
"1991","109"
"1991","127"
"3087","158"
"21","168"
"3088","92"
"3088","106"
"3088","109"
"23","101"
"23","121"
"24","148"
"25","131"
"25","152"
"25","166"
"26","101"
"26","104"
"26","105"
"26","107"
"26","118"
"26","140"
"26","152"
"27","88"
"27","104"
"27","105"
"27","106"
"27","118"
"27","140"
"27","166"
"27","167"
"2819","101"
"30","130"
"3088","114"
"33","102"
"34","99"
"34","100"
"34","101"
"35","110"
"35","131"
"35","140"
"35","146"
"35","164"
"35","167"
"3088","121"
"37","109"
"38","139"
"39","107"
"40","99"
"40","100"
"40","101"
"41","91"
"41","105"
"41","109"
"41","110"
"41","131"
"41","140"
"41","152"
"41","167"
"42","97"
"42","99"
"42","100"
"42","101"
"42","114"
"42","121"
"42","149"
"42","153"
"3088","131"
"44","126"
"44","140"
"44","158"
"44","166"
"44","167"
"811","110"
"47","101"
"47","121"
"2819","131"
"2819","140"
"2819","146"
"3088","140"
"3088","146"
"3088","152"
"50","99"
"50","101"
"51","165"
"3088","167"
"3076","91"
"3057","88"
"3057","102"
"3057","105"
"56","109"
"56","110"
"56","140"
"56","149"
"56","158"
"57","122"
"58","135"
"59","105"
"59","109"
"59","127"
"59","129"
"59","130"
"59","131"
"59","168"
"59","140"
"59","146"
"60","106"
"60","109"
"60","110"
"60","131"
"60","140"
"60","146"
"61","99"
"61","100"
"61","101"
"61","107"
"61","131"
"61","149"
"61","165"
"63","99"
"63","100"
"63","101"
"64","168"
"65","131"
"66","114"
"69","150"
"70","101"
"71","165"
"811","121"
"811","131"
"811","140"
"811","146"
"811","152"
"819","149"
"822","127"
"822","129"
"822","128"
"822","130"
"74","120"
"75","109"
"75","131"
"75","140"
"75","166"
"75","167"
"76","97"
"76","107"
"76","109"
"76","123"
"77","122"
"2819","166"
"80","126"
"80","131"
"80","132"
"80","146"
"80","152"
"80","158"
"80","165"
"81","91"
"83","122"
"3057","115"
"85","101"
"85","109"
"85","121"
"85","140"
"85","146"
"85","153"
"85","156"
"86","93"
"86","104"
"86","105"
"86","118"
"86","132"
"86","152"
"86","167"
"87","105"
"87","107"
"87","168"
"87","146"
"3057","131"
"2283","92"
"2283","99"
"1991","130"
"3057","140"
"90","109"
"2601","91"
"92","107"
"94","145"
"95","121"
"95","122"
"95","136"
"96","104"
"98","93"
"98","94"
"98","104"
"98","105"
"98","111"
"98","118"
"98","132"
"99","107"
"99","123"
"99","124"
"99","127"
"99","129"
"99","130"
"99","134"
"99","168"
"99","135"
"99","136"
"99","155"
"99","161"
"99","165"
"100","149"
"2601","99"
"102","88"
"102","110"
"104","99"
"105","93"
"105","121"
"105","154"
"106","88"
"106","109"
"106","131"
"106","134"
"106","140"
"106","145"
"106","160"
"106","161"
"106","165"
"106","167"
"2601","100"
"2601","101"
"2601","120"
"2601","121"
"2601","131"
"108","107"
"108","168"
"108","149"
"108","158"
"109","99"
"109","131"
"109","140"
"110","158"
"111","165"
"112","110"
"2601","140"
"2601","152"
"2601","153"
"114","91"
"114","120"
"115","101"
"115","121"
"115","143"
"115","152"
"116","91"
"116","120"
"117","127"
"117","128"
"117","129"
"117","130"
"117","156"
"118","110"
"119","130"
"120","101"
"2601","167"
"121","168"
"2924","168"
"124","128"
"124","130"
"124","146"
"124","149"
"126","116"
"126","134"
"126","135"
"127","168"
"128","124"
"128","140"
"128","146"
"128","151"
"129","90"
"129","107"
"129","124"
"129","130"
"129","168"
"129","165"
"2482","121"
"131","101"
"132","99"
"132","100"
"132","101"
"133","153"
"134","110"
"135","96"
"135","102"
"135","107"
"135","113"
"135","116"
"135","145"
"136","140"
"137","123"
"137","124"
"138","107"
"138","168"
"138","145"
"138","152"
"138","158"
"138","165"
"139","102"
"140","109"
"141","92"
"142","140"
"143","168"
"144","128"
"145","152"
"146","149"
"147","121"
"147","168"
"147","143"
"148","107"
"149","90"
"149","92"
"149","91"
"149","140"
"149","167"
"150","88"
"150","109"
"150","141"
"151","102"
"152","90"
"154","92"
"154","91"
"155","90"
"155","92"
"155","91"
"155","102"
"155","114"
"155","120"
"155","121"
"155","126"
"155","145"
"156","109"
"157","100"
"3057","160"
"3277","101"
"207","109"
"207","119"
"207","131"
"207","168"
"207","140"
"207","146"
"1991","140"
"3208","102"
"3204","102"
"3203","105"
"159","120"
"160","101"
"160","152"
"162","93"
"162","94"
"162","104"
"162","105"
"162","118"
"162","132"
"162","138"
"162","150"
"162","166"
"162","167"
"163","114"
"2482","132"
"3203","109"
"165","92"
"165","91"
"165","97"
"165","99"
"165","100"
"165","101"
"165","120"
"165","121"
"165","135"
"165","152"
"165","153"
"166","106"
"166","167"
"167","131"
"169","99"
"169","100"
"169","101"
"171","110"
"172","99"
"172","100"
"172","101"
"172","135"
"172","136"
"173","110"
"174","148"
"175","129"
"176","123"
"176","124"
"177","93"
"178","109"
"178","127"
"178","129"
"178","168"
"178","156"
"179","109"
"179","127"
"179","129"
"179","130"
"179","140"
"179","145"
"180","130"
"181","102"
"182","99"
"182","100"
"183","99"
"183","100"
"183","101"
"184","130"
"185","109"
"185","127"
"185","140"
"185","144"
"185","164"
"2957","97"
"667","102"
"187","102"
"189","97"
"189","99"
"189","100"
"189","101"
"189","121"
"189","153"
"190","168"
"191","128"
"192","130"
"193","93"
"193","97"
"193","104"
"193","105"
"193","118"
"194","122"
"195","99"
"195","109"
"195","115"
"195","145"
"195","160"
"196","122"
"197","99"
"197","100"
"198","107"
"198","124"
"198","168"
"199","99"
"200","131"
"201","97"
"201","135"
"202","124"
"203","102"
"203","105"
"203","107"
"203","168"
"203","145"
"203","158"
"2482","168"
"205","168"
"206","116"
"2482","146"
"2957","102"
"2957","107"
"667","123"
"210","99"
"210","100"
"210","101"
"210","145"
"2186","160"
"2398","96"
"2398","110"
"2398","168"
"2398","140"
"214","97"
"214","99"
"214","100"
"214","101"
"214","135"
"214","136"
"2957","121"
"2957","148"
"2957","152"
"2957","153"
"2956","99"
"216","102"
"218","138"
"219","107"
"219","123"
"219","124"
"221","110"
"221","131"
"221","140"
"1561","92"
"1561","91"
"1561","120"
"667","160"
"224","92"
"224","91"
"225","109"
"226","165"
"227","107"
"227","153"
"228","90"
"228","92"
"228","91"
"228","102"
"228","109"
"228","113"
"228","120"
"228","121"
"228","122"
"228","135"
"229","123"
"229","124"
"230","101"
"230","121"
"231","99"
"231","100"
"232","97"
"232","99"
"232","107"
"232","149"
"233","109"
"233","131"
"233","146"
"234","102"
"667","161"
"355","109"
"355","110"
"355","140"
"355","146"
"236","102"
"236","155"
"237","168"
"238","102"
"239","130"
"240","89"
"241","168"
"241","161"
"242","97"
"242","99"
"242","153"
"243","148"
"244","97"
"244","131"
"245","99"
"245","100"
"245","101"
"246","160"
"247","135"
"247","145"
"247","148"
"2956","101"
"2956","121"
"2956","152"
"2842","131"
"2842","140"
"2842","146"
"2842","152"
"250","153"
"251","88"
"251","105"
"251","109"
"251","110"
"251","140"
"252","92"
"253","92"
"253","110"
"253","131"
"253","140"
"253","144"
"253","155"
"253","156"
"253","163"
"253","164"
"253","166"
"253","167"
"2240","110"
"256","109"
"256","110"
"256","115"
"256","131"
"256","140"
"256","164"
"256","167"
"3203","140"
"3203","146"
"258","168"
"3511","102"
"2933","120"
"3514","88"
"260","110"
"261","168"
"262","107"
"263","92"
"263","91"
"263","120"
"263","131"
"263","132"
"263","152"
"263","166"
"263","167"
"264","146"
"264","149"
"264","153"
"265","98"
"265","105"
"265","109"
"265","110"
"265","131"
"267","109"
"267","110"
"267","131"
"267","140"
"267","151"
"2901","91"
"2907","97"
"2907","99"
"269","102"
"270","125"
"2350","102"
"272","102"
"272","110"
"272","122"
"272","124"
"272","131"
"272","145"
"273","97"
"2352","109"
"2352","110"
"2412","120"
"2412","121"
"2412","168"
"276","146"
"277","168"
"278","167"
"279","88"
"1164","109"
"282","127"
"283","109"
"283","128"
"283","168"
"283","149"
"284","105"
"284","109"
"284","110"
