"product_id","product"
"88","A&amp;E Services"
"89","Accommodation &amp; Food Services"
"90","Accounting Services"
"91","Administrative - Staffing &amp; Placement Services"
"92","Administrative &amp; Support Services"
"93","Advertising Services"
"94","Advertising Services - Displays"
"95","Agriculture"
"96","Arts, Environmental, &amp; Recreation"
"97","Audio &amp; Video Equipment"
"98","Commissioning"
"99","Computer Hardware Supply &amp; Services"
"100","Computer Printer Supply &amp; Services"
"101","Computer Software Supply &amp; Services"
"102","Construction"
"103","Crane Services"
"104","Design Services - Graphic"
"105","Design Services - Specialized"
"106","Education"
"107","Electronic Component Products &amp; Services"
"108","Elevator Repair Services"
"109","Engineering Services"
"110","Environmental Consulting Services"
"111","Event - Promotional"
"112","Event - Trophies &amp; Awards"
"113","Event Staging"
"114","Finance &amp; Insurance Services"
"115","Fire Protection"
"116","Furniture Installation"
"117","Geophysical Surveying Services"
"118","Graphic Design Services"
"119","Health &amp; Social Services"
"120","Human Resources"
"121","Information Services"
"122","Janitorial Services/Custodial"
"123","Laboratory Furnishings &amp; Equipment"
"124","Laboratory Supply Products &amp; Services"
"125","Landscape and Snow removal Services"
"126","Legal Services"
"127","Machine - Manufacturing"
"128","Machine - Metalworking"
"129","Machine Manufacturing - General Purpose"
"130","Machine Shop Products &amp; Services"
"131","Management, Scientific &amp; Technical Consulting Services"
"132","Marketing "
"133","Mining"
"134","Moving &amp; Storage"
"135","Office Furniture"
"136","Office Supply Products &amp; Services"
"137","Pest Control Services"
"138","Photography Services"
"139","Printing Services"
"140","Professional, Scientific &amp; Technical Services"
"141","Public Administration"
"142","Real Estate &amp; Rental &amp; Leasing"
"143","Record Retention"
"144","Recycling Services"
"145","Repair &amp; Maintenance"
"146","Scientific Research &amp; Development Services"
"148","Security Services"
"149","Semiconductor &amp; Other Electronic Components"
"150","Signage"
"151","Soil Testing"
"152","Technology Management Services"
"153","Telecommunications"
"154","Translation &amp; Interpretation Services"
"155","Transportation "
"156","Transportation Technology"
"157","Travel Services"
"158","Utilities"
"159","Vending Machine Services"
"160","Ventilation, Heating, Air Conditioning"
"161","Warehousing &amp; Storage"
"162","Waste Collection - Hazardous"
"163","Waste Collection/Disposal"
"164","Waste Management &amp; Remediation Services"
"165","Wholesale &amp; Retail Trade Services"
"166","Writing - Professional"
"167","Writing - Technical & Editing"
"168","OTHER"
